// positions          // normals           // texture coords
    -0.053543f, 0.175174f, -0.019596f,  -1.000000f, -0.000000f, -0.000000f,  0.894043f, 0.947754f,
    -0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.013253f, 0.052279f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.150134f,
    -0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.139410f,
    -0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.128686f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.008434f, 0.150134f,
    -0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.128686f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.016867f, 0.150134f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.617381f, 0.537113f,
    -0.008717f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.631286f, 0.537113f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.631286f, 0.633952f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.617381f, 0.537113f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.631286f, 0.633952f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.617381f, 0.633952f,
    -0.008717f, -0.000000f, 0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.421483f,
    -0.008717f, -0.000000f, 0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.421483f,
    -0.008717f, 0.060713f, 0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.518323f,
    -0.008717f, -0.000000f, 0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.421483f,
    -0.008717f, 0.060713f, 0.008888f,  1.000000f, -0.000000f, -0.000000f,  0.520521f, 0.518323f,
    -0.008717f, 0.060713f, 0.023655f,  1.000000f, -0.000000f, -0.000000f,  0.496967f, 0.518323f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.882039f, 0.056665f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.882039f, 0.045796f,
    -0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.887063f, 0.119074f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.882039f, 0.056665f,
    -0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.887063f, 0.119074f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.889951f, 0.056665f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.100210f,
    -0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.081796f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.915974f, 0.070714f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.100210f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.915974f, 0.070714f,
    -0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.915974f, 0.108122f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.109287f,
    -0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.906541f, 0.108844f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.906541f, 0.127258f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.109287f,
    -0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.906541f, 0.127258f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.895671f, 0.127258f,
    -0.008717f, 0.060713f, 0.008888f,  -0.040700f, -0.000000f, 0.999200f,  0.459818f, 0.631785f,
    -0.008717f, -0.000000f, 0.008888f,  -0.040700f, -0.000000f, 0.999200f,  0.459818f, 0.534945f,
    0.000000f, -0.000000f, 0.009243f,  -0.040700f, -0.000000f, 0.999200f,  0.473734f, 0.534945f,
    -0.008717f, 0.060713f, 0.008888f,  -0.040700f, -0.000000f, 0.999200f,  0.459818f, 0.631785f,
    0.000000f, -0.000000f, 0.009243f,  -0.040700f, -0.000000f, 0.999200f,  0.473734f, 0.534945f,
    0.000000f, 0.060713f, 0.009243f,  -0.040700f, -0.000000f, 0.999200f,  0.473734f, 0.631785f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.979111f, 0.063192f,
    -0.025000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.947939f, 0.063192f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.945050f, 0.119366f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.979111f, 0.063192f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.945050f, 0.119366f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.976223f, 0.119366f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.938830f, 0.114422f,
    -0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.952800f, 0.041143f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.953243f, 0.052013f,
    -0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.938830f, 0.114422f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.953243f, 0.052013f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.941718f, 0.052013f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.895687f, 0.081631f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.895827f, 0.093162f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.895687f, 0.119058f,
    0.025000f, 0.060713f, 0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.489591f, 0.019527f,
    0.025000f, 0.150410f, 0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.489591f, 0.104111f,
    0.025000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.461301f, 0.104111f,
    0.025000f, 0.060713f, 0.030000f,  -1.000000f, -0.000000f, -0.000000f,  0.489591f, 0.019527f,
    0.025000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.461301f, 0.104111f,
    0.025000f, 0.060713f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.461301f, 0.019527f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.017578f, 0.004883f,
    0.000000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.017578f, 0.033203f,
    0.050000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.009766f, 0.039062f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.017578f, 0.004883f,
    0.050000f, 0.220000f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.009766f, 0.039062f,
    0.050000f, 0.150410f, 0.050000f,  -0.000000f, -0.000000f, -1.000000f,  0.009766f, 0.010742f,
    0.050000f, 0.150410f, 0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.038086f, 0.004883f,
    0.050000f, 0.220000f, 0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.038086f, 0.033203f,
    0.050000f, 0.220000f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.018555f, 0.033203f,
    0.050000f, 0.150410f, 0.050000f,  -1.000000f, -0.000000f, -0.000000f,  0.038086f, 0.004883f,
    0.050000f, 0.220000f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.018555f, 0.033203f,
    0.050000f, 0.150410f, 0.000000f,  -1.000000f, -0.000000f, -0.000000f,  0.018555f, 0.004883f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.961385f, 0.022704f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.961385f, 0.125069f,
    0.025000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.932854f, 0.125069f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.961385f, 0.022704f,
    0.025000f, 0.150410f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.932854f, 0.125069f,
    0.025000f, 0.060713f, 0.030000f,  -0.000000f, -0.000000f, -1.000000f,  0.932854f, 0.022704f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306269f, 0.482875f,
    0.008717f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.316877f, 0.482875f,
    0.008717f, -0.000000f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.316877f, 0.500845f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.306269f, 0.482875f,
    0.008717f, -0.000000f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.316877f, 0.500845f,
    0.000000f, -0.000000f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.306269f, 0.500413f,
    0.050000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.127711f, 0.100536f,
    0.000000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.127711f, 0.139410f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.089157f, 0.139410f,
    0.050000f, 0.220000f, 0.050000f,  -0.000000f, -1.000000f, -0.000000f,  0.127711f, 0.100536f,
    0.000000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.089157f, 0.139410f,
    0.050000f, 0.220000f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.087952f, 0.100536f,
    0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.026810f,
    0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.009639f, 0.034853f,
    0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.009639f, 0.013405f,
    0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.026810f,
    0.050000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.009639f, 0.013405f,
    0.025000f, 0.150410f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.013405f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.028916f, 0.034853f,
    0.000000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.034853f,
    0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.013405f,
    0.000000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.028916f, 0.034853f,
    0.050000f, 0.150410f, 0.050000f,  -0.000000f, 1.000000f, -0.000000f,  0.020482f, 0.013405f,
    0.025000f, 0.150410f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.028916f, 0.024129f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.616457f, 0.537113f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.616457f, 0.633952f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.602553f, 0.633952f,
    0.000000f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.616457f, 0.537113f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.602553f, 0.633952f,
    0.008717f, -0.000000f, 0.023655f,  -0.000000f, -0.000000f, -1.000000f,  0.602553f, 0.537113f,
    0.008717f, -0.000000f, 0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.545000f, 0.421354f,
    0.008717f, 0.060713f, 0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.545000f, 0.518194f,
    0.008717f, 0.060713f, 0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.521445f, 0.518194f,
    0.008717f, -0.000000f, 0.023655f,  -1.000000f, -0.000000f, -0.000000f,  0.545000f, 0.421354f,
    0.008717f, 0.060713f, 0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.521445f, 0.518194f,
    0.008717f, -0.000000f, 0.008888f,  -1.000000f, -0.000000f, -0.000000f,  0.521445f, 0.421354f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.950208f, 0.082175f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.942296f, 0.082175f,
    0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.941718f, 0.052736f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.950208f, 0.082175f,
    0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.941718f, 0.052736f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.949630f, 0.073038f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.894949f, 0.100210f,
    0.025000f, 0.060713f, 0.030000f,  -0.000000f, 1.000000f, -0.000000f,  0.874646f, 0.108122f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.874646f, 0.070714f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.894949f, 0.100210f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.874646f, 0.070714f,
    0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.894949f, 0.081796f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.928288f, 0.126815f,
    0.000000f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.928288f, 0.108844f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.939158f, 0.108844f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.928288f, 0.126815f,
    0.008717f, 0.060713f, 0.023655f,  -0.000000f, 1.000000f, -0.000000f,  0.939158f, 0.108844f,
    0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.939158f, 0.127258f,
    0.008717f, 0.060713f, 0.008888f,  0.040700f, -0.000000f, 0.999200f,  0.535361f, 0.630116f,
    0.000000f, 0.060713f, 0.009243f,  0.040700f, -0.000000f, 0.999200f,  0.521445f, 0.630116f,
    0.000000f, -0.000000f, 0.009243f,  0.040700f, -0.000000f, 0.999200f,  0.521445f, 0.533276f,
    0.008717f, 0.060713f, 0.008888f,  0.040700f, -0.000000f, 0.999200f,  0.535361f, 0.630116f,
    0.000000f, -0.000000f, 0.009243f,  0.040700f, -0.000000f, 0.999200f,  0.521445f, 0.533276f,
    0.008717f, -0.000000f, 0.008888f,  0.040700f, -0.000000f, 0.999200f,  0.535361f, 0.533276f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.928978f, 0.115322f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.931866f, 0.059148f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.900694f, 0.059148f,
    0.000000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.928978f, 0.115322f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, -1.000000f, -0.000000f,  0.900694f, 0.059148f,
    0.025000f, 0.060713f, 0.030000f,  -0.000000f, -1.000000f, -0.000000f,  0.897805f, 0.115322f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.879151f, 0.118352f,
    0.000000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.879151f, 0.087179f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.890676f, 0.087179f,
    0.025000f, 0.060713f, 0.000000f,  -0.000000f, 1.000000f, -0.000000f,  0.879151f, 0.118352f,
    0.000000f, 0.060713f, 0.009243f,  -0.000000f, 1.000000f, -0.000000f,  0.890676f, 0.087179f,
    0.008717f, 0.060713f, 0.008888f,  -0.000000f, 1.000000f, -0.000000f,  0.890233f, 0.098049f,
    -0.055265f, 0.198833f, -0.018956f,  -1.000000f, -0.000000f, -0.000000f,  0.981806f, 0.597778f,
    -0.055265f, 0.203282f, -0.017674f,  -1.000000f, -0.000000f, -0.000000f,  0.984986f, 0.596701f,
    -0.055265f, 0.207431f, -0.037719f,  -1.000000f, -0.000000f, -0.000000f,  0.984986f, 0.658936f,
    -0.055265f, 0.198833f, -0.018956f,  -1.000000f, -0.000000f, -0.000000f,  0.981806f, 0.597778f,
    -0.055265f, 0.207431f, -0.037719f,  -1.000000f, -0.000000f, -0.000000f,  0.984986f, 0.658936f,
    -0.055265f, 0.202982f, -0.039002f,  -1.000000f, -0.000000f, -0.000000f,  0.981806f, 0.660013f,
    -0.055265f, 0.202982f, -0.039002f,  -0.000000f, 0.277000f, -0.960900f,  0.990216f, 0.710077f,
    -0.055265f, 0.207431f, -0.037719f,  -0.000000f, 0.277000f, -0.960900f,  0.976138f, 0.710077f,
    -0.037781f, 0.207431f, -0.037719f,  -0.000000f, 0.277000f, -0.960900f,  0.976138f, 0.656921f,
    -0.055265f, 0.202982f, -0.039002f,  -0.000000f, 0.277000f, -0.960900f,  0.990216f, 0.710077f,
    -0.037781f, 0.207431f, -0.037719f,  -0.000000f, 0.277000f, -0.960900f,  0.976138f, 0.656921f,
    -0.037781f, 0.202982f, -0.039002f,  -0.000000f, 0.277000f, -0.960900f,  0.990216f, 0.656921f,
    -0.037781f, 0.202982f, -0.039002f,  1.000000f, -0.000000f, -0.000000f,  0.170996f, 0.866892f,
    -0.037781f, 0.207431f, -0.037719f,  1.000000f, -0.000000f, -0.000000f,  0.156960f, 0.865815f,
    -0.037781f, 0.203282f, -0.017674f,  1.000000f, -0.000000f, -0.000000f,  0.156960f, 0.803580f,
    -0.037781f, 0.202982f, -0.039002f,  1.000000f, -0.000000f, -0.000000f,  0.170996f, 0.866892f,
    -0.037781f, 0.203282f, -0.017674f,  1.000000f, -0.000000f, -0.000000f,  0.156960f, 0.803580f,
    -0.037781f, 0.198833f, -0.018956f,  1.000000f, -0.000000f, -0.000000f,  0.170996f, 0.804657f,
    -0.037781f, 0.198833f, -0.018956f,  -0.000000f, -0.277000f, 0.960900f,  0.985385f, 0.655828f,
    -0.037781f, 0.203282f, -0.017674f,  -0.000000f, -0.277000f, 0.960900f,  0.988574f, 0.655828f,
    -0.055265f, 0.203282f, -0.017674f,  -0.000000f, -0.277000f, 0.960900f,  0.988574f, 0.708985f,
    -0.037781f, 0.198833f, -0.018956f,  -0.000000f, -0.277000f, 0.960900f,  0.985385f, 0.655828f,
    -0.055265f, 0.203282f, -0.017674f,  -0.000000f, -0.277000f, 0.960900f,  0.988574f, 0.708985f,
    -0.055265f, 0.198833f, -0.018956f,  -0.000000f, -0.277000f, 0.960900f,  0.985385f, 0.708985f,
    -0.055265f, 0.202982f, -0.039002f,  -0.000000f, -0.979200f, -0.202700f,  0.944082f, 0.658936f,
    -0.037781f, 0.202982f, -0.039002f,  -0.000000f, -0.979200f, -0.202700f,  0.932040f, 0.658936f,
    -0.037781f, 0.198833f, -0.018956f,  -0.000000f, -0.979200f, -0.202700f,  0.932040f, 0.596701f,
    -0.055265f, 0.202982f, -0.039002f,  -0.000000f, -0.979200f, -0.202700f,  0.944082f, 0.658936f,
    -0.037781f, 0.198833f, -0.018956f,  -0.000000f, -0.979200f, -0.202700f,  0.932040f, 0.596701f,
    -0.055265f, 0.198833f, -0.018956f,  -0.000000f, -0.979200f, -0.202700f,  0.944082f, 0.596701f,
    -0.037781f, 0.207431f, -0.037719f,  -0.000000f, 0.979200f, 0.202700f,  0.944481f, 0.596701f,
    -0.055265f, 0.207431f, -0.037719f,  -0.000000f, 0.979200f, 0.202700f,  0.956524f, 0.596701f,
    -0.055265f, 0.203282f, -0.017674f,  -0.000000f, 0.979200f, 0.202700f,  0.956524f, 0.658936f,
    -0.037781f, 0.207431f, -0.037719f,  -0.000000f, 0.979200f, 0.202700f,  0.944481f, 0.596701f,
    -0.055265f, 0.203282f, -0.017674f,  -0.000000f, 0.979200f, 0.202700f,  0.956524f, 0.658936f,
    -0.037781f, 0.203282f, -0.017674f,  -0.000000f, 0.979200f, 0.202700f,  0.944481f, 0.658936f,
    -0.055265f, 0.198833f, 0.018956f,  -1.000000f, -0.000000f, -0.000000f,  0.976138f, 0.654082f,
    -0.055265f, 0.202982f, 0.039002f,  -1.000000f, -0.000000f, -0.000000f,  0.976138f, 0.591847f,
    -0.055265f, 0.207431f, 0.037719f,  -1.000000f, -0.000000f, -0.000000f,  0.990174f, 0.592925f,
    -0.055265f, 0.198833f, 0.018956f,  -1.000000f, -0.000000f, -0.000000f,  0.976138f, 0.654082f,
    -0.055265f, 0.207431f, 0.037719f,  -1.000000f, -0.000000f, -0.000000f,  0.990174f, 0.592925f,
    -0.055265f, 0.203282f, 0.017674f,  -1.000000f, -0.000000f, -0.000000f,  0.990174f, 0.655159f,
    -0.055265f, 0.202982f, 0.039002f,  -0.000000f, 0.277000f, 0.960900f,  0.989439f, 0.596269f,
    -0.037781f, 0.202982f, 0.039002f,  -0.000000f, 0.277000f, 0.960900f,  0.989439f, 0.649425f,
    -0.037781f, 0.207431f, 0.037719f,  -0.000000f, 0.277000f, 0.960900f,  0.975361f, 0.649425f,
    -0.055265f, 0.202982f, 0.039002f,  -0.000000f, 0.277000f, 0.960900f,  0.989439f, 0.596269f,
    -0.037781f, 0.207431f, 0.037719f,  -0.000000f, 0.277000f, 0.960900f,  0.975361f, 0.649425f,
    -0.055265f, 0.207431f, 0.037719f,  -0.000000f, 0.277000f, 0.960900f,  0.975361f, 0.596269f,
    -0.037781f, 0.202982f, 0.039002f,  1.000000f, -0.000000f, -0.000000f,  0.772790f, 0.752799f,
    -0.037781f, 0.198833f, 0.018956f,  1.000000f, -0.000000f, -0.000000f,  0.772790f, 0.815033f,
    -0.037781f, 0.203282f, 0.017674f,  1.000000f, -0.000000f, -0.000000f,  0.758754f, 0.816111f,
    -0.037781f, 0.202982f, 0.039002f,  1.000000f, -0.000000f, -0.000000f,  0.772790f, 0.752799f,
    -0.037781f, 0.203282f, 0.017674f,  1.000000f, -0.000000f, -0.000000f,  0.758754f, 0.816111f,
    -0.037781f, 0.207431f, 0.037719f,  1.000000f, -0.000000f, -0.000000f,  0.758754f, 0.753876f,
    -0.037781f, 0.198833f, 0.018956f,  -0.000000f, -0.277000f, -0.960900f,  0.975361f, 0.704343f,
    -0.055265f, 0.198833f, 0.018956f,  -0.000000f, -0.277000f, -0.960900f,  0.975361f, 0.651187f,
    -0.055265f, 0.203282f, 0.017674f,  -0.000000f, -0.277000f, -0.960900f,  0.989439f, 0.651187f,
    -0.037781f, 0.198833f, 0.018956f,  -0.000000f, -0.277000f, -0.960900f,  0.975361f, 0.704343f,
    -0.055265f, 0.203282f, 0.017674f,  -0.000000f, -0.277000f, -0.960900f,  0.989439f, 0.651187f,
    -0.037781f, 0.203282f, 0.017674f,  -0.000000f, -0.277000f, -0.960900f,  0.989439f, 0.704343f,
    -0.055265f, 0.202982f, 0.039002f,  -0.000000f, -0.979200f, 0.202700f,  0.981407f, 0.596701f,
    -0.055265f, 0.198833f, 0.018956f,  -0.000000f, -0.979200f, 0.202700f,  0.981407f, 0.658936f,
    -0.037781f, 0.198833f, 0.018956f,  -0.000000f, -0.979200f, 0.202700f,  0.969365f, 0.658936f,
    -0.055265f, 0.202982f, 0.039002f,  -0.000000f, -0.979200f, 0.202700f,  0.981407f, 0.596701f,
    -0.037781f, 0.198833f, 0.018956f,  -0.000000f, -0.979200f, 0.202700f,  0.969365f, 0.658936f,
    -0.037781f, 0.202982f, 0.039002f,  -0.000000f, -0.979200f, 0.202700f,  0.969365f, 0.596701f,
    -0.037781f, 0.207431f, 0.037719f,  -0.000000f, 0.979200f, -0.202700f,  0.956923f, 0.658936f,
    -0.037781f, 0.203282f, 0.017674f,  -0.000000f, 0.979200f, -0.202700f,  0.956923f, 0.596701f,
    -0.055265f, 0.203282f, 0.017674f,  -0.000000f, 0.979200f, -0.202700f,  0.968965f, 0.596701f,
    -0.037781f, 0.207431f, 0.037719f,  -0.000000f, 0.979200f, -0.202700f,  0.956923f, 0.658936f,
    -0.055265f, 0.203282f, 0.017674f,  -0.000000f, 0.979200f, -0.202700f,  0.968965f, 0.596701f,
    -0.055265f, 0.207431f, 0.037719f,  -0.000000f, 0.979200f, -0.202700f,  0.968965f, 0.658936f,
